Case_ID,PSO_Coverage,MFO_Coverage,FA_Coverage,GWO_Coverage
1,50,50,40,43
2,47,49,41,45
3,48,48,39,44
4,50,50,41,49
5,48,49,41,47
6,50,49,42,48
7,50,48,42,46
8,49,49,42,48
9,47,49,40,48
10,48,50,45,50
11,45,48,40,44
12,48,47,41,45
13,47,48,40,48
14,45,49,42,49
15,47,50,43,49
16,50,49,41,50
17,48,47,40,49
18,48,49,40,45
19,49,48,42,49
20,48,48,43,48
21,49,47,43,49
22,48,48,42,48
23,48,49,42,49
24,49,50,43,50
25,50,50,44,44
26,48,47,41,48
27,49,48,42,45
28,49,48,41,41
29,49,48,44,48
30,46,50,42,50
31,49,43,40,47
32,49,49,41,50
33,50,48,43,46
34,49,49,42,46
35,50,50,44,44
36,47,48,41,48
37,47,50,42,45
38,49,50,43,48
39,48,50,40,48
40,47,48,43,47
41,49,50,43,50
42,49,49,42,46
43,48,49,41,48
44,48,49,44,43
45,48,47,40,43
46,48,47,45,48
47,46,49,43,48
48,49,50,42,43
49,48,48,44,48
50,50,50,41,45
51,48,49,46,48
52,50,49,47,50
53,49,49,42,48
54,50,50,42,50
55,49,46,43,49
56,46,50,42,47
57,48,48,43,49
58,49,49,44,48
59,47,49,42,49
60,50,50,43,50
61,48,49,41,44
62,46,48,44,49
63,48,50,43,47
64,49,47,43,48
65,49,49,44,44
66,49,49,40,44
67,46,49,42,50
68,50,49,44,50
69,50,48,42,50
70,49,49,42,44
71,49,49,43,49
72,50,49,41,49
73,50,48,43,49
74,49,50,43,49
75,49,49,46,50
76,49,50,43,49
77,49,50,43,49
78,50,49,44,50
79,49,50,45,50
80,49,50,42,42
81,49,48,42,49
82,48,48,41,49
83,47,50,43,49
84,50,50,43,49
85,47,50,44,47
86,50,49,42,50
87,47,46,41,46
88,49,48,41,47
89,49,49,43,43
90,49,48,43,46
91,48,50,42,49
92,50,50,43,50
93,45,47,38,47
94,47,49,41,46
95,48,49,44,48
96,50,49,43,46
97,44,48,42,43
98,49,50,42,45
99,49,49,40,49
100,50,47,44,48
